Periodo,Cargo Capacidad s/ BESS,Cargo Capacidad c/ BESS,Ahorro Capacidad,Costo Carga BASE,Ahorro Neto,% Ahorro Neto
Enero,338931.6,295755.6,43176.0,13432.92,29743.08,8.78
Febrero,390060.88,346816.88,43244.0,12148.64,31095.36,7.97
Marzo,394549.44,351287.44,43262.0,13455.24,29806.76,7.55
Abril sub-periodo 1,415747.82,372485.82,43262.0,2170.2,41091.8,9.88
Abril sub-periodo 2,392818.96,349556.96,43262.0,10851.0,32411.0,8.25
Mayo,399740.88,356478.88,43262.0,13455.24,29806.76,7.46
Junio,415883.1,371593.1,44290.0,13274.4,31015.6,7.46
Julio,406833.7,361879.7,44954.0,13886.76,31067.24,7.64
Agosto,420458.78,375441.78,45017.0,13902.88,31114.12,7.4
Septiembre,402337.1,357732.1,44605.0,13401.6,31203.4,7.76
Octubre Sub-periodo 1,381381.3,336775.3,44606.0,11168.0,33438.0,8.77
Octubre Sub-periodo 2,376920.7,332314.7,44606.0,2680.32,41925.68,11.12
Noviembre,334013.52,290747.52,43266.0,22704.0,20562.0,6.16
Diciembre,277856.28,260181.99,17674.29,12954.28,4720.01,1.7
TOTAL ANUAL,5347534.06,4759047.77,588486.29,169485.48,419000.81,7.84
