Periodo,Mes,Potencia_BESS_kW,Energia_Descarga_kWh,Dias_Descarga,Energia_Descarga_Mes_kWh,Demanda_Punta_Original_kW,Demanda_Punta_Nueva_kW,Reduccion_Demanda_kW,Reduccion_Demanda_Porcentaje,Potencia_Carga_Base_kW,Energia_Carga_Base_Mes_kWh,Temporada,Horas_Punta,Duracion_Punta_Horas
Enero,ENERO,120.0,480,22,10560,785.0,665.0,120.0,15.29,83.33333333333333,11000,INVIERNO,"[(18, 22)]",4
Febrero,FEBRERO,120.0,480,22,10560,902.0,782.0,120.0,13.3,83.33333333333333,11000,INVIERNO,"[(18, 22)]",4
Marzo,MARZO,120.0,480,22,10560,912.0,792.0,120.0,13.16,83.33333333333333,11000,INVIERNO,"[(18, 22)]",4
Abril sub-periodo 1,ABRIL,120.0,240,22,5280,961.0,841.0,120.0,12.49,83.33333333333333,11000,VERANO,"[(20, 22)]",2
Abril sub-periodo 2,ABRIL,120.0,240,22,5280,908.0,788.0,120.0,13.22,83.33333333333333,11000,VERANO,"[(20, 22)]",2
Mayo,MAYO,120.0,240,22,5280,924.0,804.0,120.0,12.99,83.33333333333333,11000,VERANO,"[(20, 22)]",2
Junio,JUNIO,120.0,240,22,5280,939.0,819.0,120.0,12.78,83.33333333333333,11000,VERANO,"[(20, 22)]",2
Julio,JULIO,120.0,240,22,5280,905.0,785.0,120.0,13.26,83.33333333333333,11000,VERANO,"[(20, 22)]",2
Agosto,AGOSTO,120.0,240,22,5280,934.0,814.0,120.0,12.85,83.33333333333333,11000,VERANO,"[(20, 22)]",2
Septiembre,SEPTIEMBRE,120.0,240,22,5280,902.0,782.0,120.0,13.3,83.33333333333333,11000,VERANO,"[(20, 22)]",2
Octubre Sub-periodo 1,OCTUBRE,120.0,240,22,5280,855.0,735.0,120.0,14.04,83.33333333333333,11000,VERANO,"[(20, 22)]",2
Octubre Sub-periodo 2,OCTUBRE,120.0,240,22,5280,845.0,725.0,120.0,14.2,83.33333333333333,11000,VERANO,"[(20, 22)]",2
Noviembre,NOVIEMBRE,120.0,480,22,10560,772.0,652.0,120.0,15.54,83.33333333333333,11000,INVIERNO,"[(18, 22)]",4
Diciembre,DICIEMBRE,120.0,480,22,10560,733.0,613.0,120.0,16.37,83.33333333333333,11000,INVIERNO,"[(18, 22)]",4
